MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
82|change or resulting condition|PP||X ni|829|||
83|object marker for decision verb|PP||X ni|830|||
84|object marker for verb in causative active tense|PP|ME#0069;0070|||||
85|object marker for giving/receiving verb|PP||X ni|826, 831|||
86|subject marker in a passive sentence|PP||X ni|832|||
87|object marker for person who is allowed/made to do an action|PP||X ni|833|||
88|used when comparing/differentiating/estimating|PP||X ni|834|||
89|for the purpose of|PP|for the purpose of doing X|X ni|835, 1273|||
90|made for|PP|made for X|X ni|836|||
91|cause for a given situation|PP||X ni|837|||
92|ability, skill, knowledge|PP||X ni|838|||
93|used with adverb describing manner|PP||X ni|839|||
94|lists|PP|Seldom used.|X ni|840|||
95|do Y in order to do/be X|CO||X ni Y @ X = action verb i-stem, Y = verb|982|||
96|X by means of Y|CO||X ni Y @ X/Y = action verb||||
97|go/come to do X|CO||X ni Y @ X = action verb, Y = kuru/iku/kaeru, no object in between|1064, 1065|||
98|adverb form|naAC||Adjective conjuation: [root] + ni|1092, 1093|||
99|from the object's point of view|PP||X ni wa|841, 842, 1269|||
100|verb object marker|PP|Used for verbs taking "ni" in a compound sentence.|X ni wa Y @ X = object, Y = verb taking "ni" as object marker (e.g. au)|843|||
101|noun modifier and use as subject|PP|This is a combination of two prepositions: a possessive marker "no" and a subject indicator "wa". It transforms the phrase (adverb, adjective, verb) into a noun for use as the subject of an enclosing phrase. The enclosing phrase in turn requires the "wa" subject marker according to the grammar rules governing it. For example, "eat food" is modified to "the eating of food" and is used as the subject of the phrase "the eating of food is good".|X no wa Y @ X = object, Y =phrase|1329, 1330, 1451, 1452, 1454|||
102|among other things, such things as, or something like that|PP|Used repeatedly (toka…. toka) to emphasize a list of examples. Similar to "ya… nado".|X toka Y toka @ X/Y = noun, verb in plain form or adjective|1296, 1297, 1298|||
103|and, as well as|CO|Used in conjunction with narabi ni (並びに) to form complex lists, particularly in legal contexts. Narabi ni divides subsets within the list while oyobi is used to conjoin more closely related items. Often written in hiragana. (source: Wiktionary)||1502|||
104|out of X, the Y is good|PC|Used by the speaker to single out a good item out of a set of items.|X wa Y ga ii desu @ X = noun describing a set of objects, Y = noun as subset of X|844|||
105|As for X, Y is [verb]|PC|Used by the speaker to describe an aspect [verb] of an item Y in an object/set X.|X wa Y ga (verb) @ X = subject 1, Y = subject 2|845, 846|||
106|[counter] X are worth [price] yen|PC|Used to give the price of a number of counted items.|X [counter] de [price] en|847|||
107|Y (is/are being) sold at X|PC|To indicate that an item is sold at a certain location, the progressive form "utteiru" of the verb "uru" (to sell) is used instead its passive form.|Y ga X de utteiru @ X = noun, Y = subject||||
108|I will have X|PC|Used when requesting an item from a list, e.g. when ordering food at a restaurant.|X ni suru @ X = noun|848, 1471, 1472|||
109|X also Y so|PC|Used to express the speaker's point of view regarding a certain object/concept mentioned by another speaker.|X mo sou Y @ X = pronoun, Y = think, believe, observe, etc..|849|||
110|X that Y|CO|Describes an action Y that the subject X is performing, or a state of being Y of a subject X. If this phrase is used as the subect of a sentence, then any "wa" subject markers are changed to "ga" to prevent confusion on the sentence's main subject.|Y X @ X = phrase, Y = action/state of being describing that phrase|850, 851, 852, 853|||
111|X just the way it is|PC|ME#0071;0072;0073|||||
112|X the way it is meant to be, X as planned, just as X|PC|ME#0074;0075|||||
113|it would be best if X|PC|ME#0076;0077|||||
114|It seems that (he) does/is X|PC|ME#0078;0079|||||
115|(He) seems to do/be X|PC||X rashii da @ X = verb plain form, noun|870|||
116|(He) seems to do/be X / (I've) heard that X (from what I can see)|PC|ME#0080;0081;0082;0083;0084|||||
117|(I've) heard that (he's/it's) not X (from what I can see)|PC||X ja/dewa nasasou @ X = noun|880|||
118|(I've) heard that X, it seems that X|PC|ME#0085;0086;0087;0088||||sou, to iu|
119|(He) seems to do/be X (from what I can deduce)|PC|ME#0089;0090;0091|||||
120|even if (he) does/is X|PC|ME#0092;0093;0094|||||
121|no matter how much (he) does/is X|PC||ikura X mo @ X = verb te form||||
122|would (you) like to do/be X?|PC||X ii desu ka @ X = phrase in plain form||||
123|is X, am X|PC|Expresses a state of being. Formal and literary form of "desu".|X dearu @ X = phrase|1496|||
124|X is included|PC||X ga tsuiteimasu|302|||
125|X is included|PC||X ga hatteimasu|129|||
126|do/be X or something|PC||||||
127|do/be X or someone|PC||||||
128|do/be X or somewhere|PC||||||
129|(He) probably does/is X|PC|Presumptive tense.|X darou @ X = verb plain form, i-adj., na-adj., noun|1357|||
130|(I) wonder if (he) does/is X|PC||X darou @ X = question word (doko, dare, etc)||||
131|(He) probably does/is X|PC|Presumptive tense, polite form.|X deshou @ X = verb plain form, i-adj., na-adj., noun|1356, 1358, 1359, 1360|||
132|(I) wonder if (he) does/is X|PC||X deshou @ X = question word (doko, dare, etc)||||
133|apart from X|PC||X no hoka @ X = phrase||||
134|too much X|PC|ME#0095;0096;0097|||||
135|in case (you) do/are X|PC|ME#0098;0099;0100|||||
136|Y only because of X, (simply) because, on account of|CO||Y bakari ni X|903|||
137|it's because of X|PC|Use "nanda" at the end of a phrase. Used colloquially.|X nanda||||
138|if X then Y|PC|ME#0103;0104;0105;0106|||||
139|if not X then Y|PC|ME#0107;0108;0109;0110|||||
140|if not X then Y|PC|ME#0111;0112;0113;0114|||||
141|what must one do/be when X?|PC||X ii desu ka? (answer with "Y ii desu") @ X/Y = verb ba form|915|||
142|because of X|PC|ME#0115;0116;0117;0118|||||
143|what must one do/be when X?|PC|Answer with "Y ii desu".|X ii desu ka? @ X/Y = verb tara form||||
144|if X then Y|PC|ME#0119;0120;0121;0122|||||
145|when X then Y|PC|ME#0123;0124;0125|||||
146|if not X then Y|PC|ME#0126;0127;0128|||||
147|when not X then Y|PC|ME#0129;0130;0131|||||
148|and, thereupon, because of that|CO|Equivalent of "and then" in speech, starts a sentence, usually spoken only.|sore de X||||
149|still, even so|CO||||||
150|so, accordingly, now, then, thereupon, therefore|CO|Can be used to start a sentence.|X soko de Y||||
151|therefore, consequently|CO|Can be used to start a sentence.|X. yue ni Y / X yue ni Y||||
152|X therefore Y|CO|Can be used to start a sentence.|soshitara X @ X = phrase||||
153|X therefore Y|CO|ME#0134;0135|||||
154|X therefore Y|CO|ME#0136;0137|||||
155|X therefore Y|CO|ME#0138;0139;0140;0141|||||
156|X by means of Y|CO||X te/de Y @ X = action verb te-form, Y = action verb|1044|||
157|if X|PC||X nara @ X = phrase||||
158|despite X, in spite of X, regardless of X|PC||X kakawarazu @ X = phrase||||
159|except for X, other than X, with the exception of X|PC||X igai @ X = phrase||||
160|X however Y, X but Y, Y even if X, X nevertheless Y, X even so Y, Y notwithstanding X|CO|ME#0142;0143|||||
161|X however Y, X but Y, Y even if X, X nevertheless Y, X even so Y, Y notwithstanding X|CO||X soredemo Y @ X/Y = phrase|795|||
162|X however Y, X but Y, Y apart from X, Y other than X, Y aside from X, Y more than X|CO||X. soreyori Y @ X/Y = phrase||||
163|X but Y, X however Y, Y provided that X|CO||X. tadashi Y @ X/Y = phrase||||
164|X but Y|CO|ME#0149;0150|||||
165|X and Y|CO|ME#0151;0152|||||
166|X but Y|CO|ME#0153;0154|||||
167|Y even if X|CO||X tokoro de, Y @ X/Y = phrase|504|||
168|totteringly, staggeringly, unsteadily|AM||||||
169|lanky, spindly, slender, frail|Ana||||||
170|X nevertheless Y, X however Y|CO||X. sore ni shite mo Y @ Y = phrase||||
171|X? or Y?|PC||X? soretomo Y? @ X/Y = phrase|948, 949|||
172|don't do X but instead do Y|CO||X naide Y @ X/Y = action verb|950|||
173|don't do Y without doing X|CO||X naide Y @ X naide = verb naide form, Y = sentence||||
174|not X and then Y|CO||X naide Y @ X/Y = action verb|1068|||
175|Y despite X, Y even though X|CO|ME#0155;0156;0157|||||
176|in order to do/be X, for the purpose of doing/being X|VC|Similar to converting the verb to its gerund ("koto") form.|X no ni @ X = verb dict. form|983, 1274|||
177|X but Y|CO|Usually starts a phrase with a problematic, conflicting topic.|X shikashi Y @ X/Y = phrase|957|||
178|not X but Y instead|CO||X ja nakute Y @ X/Y = phrase|958, 337|||
179|X or Y, X otherwise Y|CO||X mata wa Y @ X/Y = phrase||||
180|X together with Y|CO||X to issho ni Y @ X/Y = phrase||||
181|Y besides X, Y in addition to X|CO||X. sore ni Y|1275|||
182|Y besides X, Y in addition to X|CO||X. sono ue Y||||
183|do Y during X|CO||X nagara Y @ X = verb nagara form, Y = action verb teimasu form. Note: the sentence order is important.|959, 960|||
184|X and Y (amongst other things)|PC|ME#0158;0159|||||
185|X and/or Y|PC|ME#0160;0161;0162|||||
186|Y happening at the same time as X|PC|ME#0163;0164;0165|||||
187|Y happened/will have happened/is agreed upon to happen at the same time as X|PC|ME#0166;0167;0168|||||
188|Y happening while X is still happening|CO|ME#0169;0170;0171|||||
189|action Y happening in the midst of event X|CO||X no tochuu de Y|978|||
190|Y exists on the way during movement X|CO||X tochuu ni Y|979|||
191|action Y happening on the way during movement X|CO||X tochuu de Y @ X = movement|980, 981|||
192|X is true and also Y|CO||X. ato Y|129|||
193|(make an effort) in order to do X, in the hopes of something uncertain|PC||X you ni to suru @ X = action|984||tame ni|
194|Y for the sake of doing/being X, for the sake of something certain|CO||X tame ni Y @ X = verb, Y = verb|991||you ni|
195|Y for the benefit of X, for the sake of something certain|CO|ME#0172;0173|||||
196|tell/ask to do/be X|PC||X you ni to Y @ X = action, Y = iu, tsutaeru|994, 995|||
197|say/tell that X|PC|ME#0174;0175|||||
198|think that X|PC|ME#0176;0177|||||
199|is/do not always X|PC|ME#0178;0179|||||
200|as far as X|PC||X tokoro dewa|1009|||
201|do you Y if X is ...?|PC||X ka Y ka? @ X = question, Y = know/think/believe/etc..|1010, 1011, 1012, 1013, 1014|||
202|do you Y if X is ... or not?|PC||X ka dou ka Y ka? @ X = question, Y = know/think/believe/etc..|1016, 1017|||
203|I don't Y if X is ... or not|PC|ME#0180;0181;0182|||||
204|In order to see if X is … or not|PC||X ka dou ka Y miru @ X = phrase, Y = verb in te-form|1349, 1350|||
205|is supposed to do/be X|PC|ME#0183;0184;0185;0186;0187;0188;0189|||||
206|is not supposed to do/be X|PC|ME#0190;0191;0192;0193;0194;0195;0196|||||
207|was certainly supposed to do/be X|PC|ME#0197;0198;0199|||||
208|was regrettably supposed to do/be X|PC|ME#0200;0201;0202|||||
209|was certainly not supposed to do/be X|PC|ME#0203;0204;0205|||||
210|concerning X, about X, relating to X, regarding X|PC|ME#0206;0207|||||
211|becomes X|PC|ME#0208;0209;0210;0211|||||
212|became X|PC|ME#0212;0213;0214|||||
213|become able to be/do X|PC|Replaces the invalid "eru + tai" construction.|X you ni naritai @ X = verb in eru (can do/be) form||||
214|not become able to be/do X|PC|Replaces the invalid "eru + tai" construction.|X you ni naru kamo shirenai @ X = verb in eru (can do/be) form||||
215|X and Y have the same (characteristic)|PC||X to Y onaji (characteristic)|1049|||
216|Y resembles X|PC||X wa Y ni niteiru @ X = noun|1361|||
217|which of X and Y is most (characteristic) ?|PC||X to Y to dochira ga (characteristic)|767|||
218|out of all the X, Y is the most (characteristic)|PC||X no naka de Y ga ichiban (characteristic) |1050, 1487|||
219|Y more ... than X|PC|ME#0215;0216;0217|||||
220|X less … than Y|PC|ME#0218;0219|||||
221|between/of X and Y|PC|ME#0220;0221|||||
222|less X and a bit more Y|PC||X yori mou sukoshi Y @ Y = adj.|1057|||
223|X seems to be like Y, X looks like Y|PC|ME#0222;0223;0224;0225;0226;0227|||||
224|after X|CO|ME#0228;0229;0230|||||
225|before X|CO|ME#0231;0232|||||
226|X and then Y|CO|ME#0233;0234|||||
227|X and then Y|CO||X sorekara Y|1073, 1074|||
228|X and then Y|CO|Used after an adverb, adjective or copula.|X soshite Y|1075|||
229|furthermore, again, after all, more and more, moreover, even more|A||||||
230|inflict, impose (a fine, etc.)|VsuruT||||||
231|X is being done (present progressive) while doing/being something|VC||X ite @ X = verb te form||||
232|X is being done (present progressive) while doing/being something|VC|Colloquial form of "teite/deite".|X te @ X = verb te form||||
233|X is being done (present progressive)|VC||X iru @ X = verb te form||||
234|X past action/event that is still relevant to the present|VC||X iru @ X = verb te form|652, 1079|||
235|X has (already) been done|VC|Similar to use of "te iru", usually with the connotation of something already being (e.g. the window is already open"). The "te aru" form generally requires the "ga" object indicator.|X aru @ X = verb te form|1080, 1081, 1377|||
236|X has been happening and will continue to happen|VC||X iku @ X = verb te form||||
237|do/be X while moving away|VC||X iku @ X = verb te form||||
238|do/be X then go somewhere|VC||X iku @ X = verb te form||||
239|to do/be X preemptively, in preparation for, in advance|VC||X oku @ X = verb te form|1069, 1347, 1418||ttoku|
240|to do/be X preemptively, in preparation for, in advance|VC||X ttoku @ X = verb root|1070||te oku|
241|X and then Y|VC||X kara Y @ X = verb te form|1071, 1072|||
242|to come to do/be X|VC|Refers to an event began in the past and is continuing in the present.|X kuru @ X = verb te form||||
243|do/be X while approaching|VC||X kuru @ X = verb te form||||
244|do/be X then come over|VC||X kuru @ X = verb te form||||
245|X is possible|VC||X mo ii da @ X = verb te form / sentence object|887, 888, 889, 150|||
246|X is not permitted|VC||X wa ikenai @ X = verb te form / sentence object|890, 483, 1484||cha ikenai|
247|X is not permitted|VC|Colloquial form of "te wa ikenai" for verbs.|X cha ikenai @ X = verb root|1483||te wa ikenai|
248|is it fine if (he) does/is X?|VC||X mo ii desu ka @ X = verb te form|891|||
249|(He) does/is X as a personal favor for someone|VC|Use "te ageru" not only for polite language, but also for implicitly specifying the giver/recipient (e.g. "watashi/kare ni" is removed from the sentence).|X ageru @ X = verb te form|885, 1393, 1436, 1437, 1440, 1443||te morau, te kureru|
250|(I) want someone to do X, hope someone does X|VC||X hoshii da @ X = verb te form||||
251|please do X|VC||X kudasai @ X = verb te form (add "sumimasen" or "chotto" to soften the request)|886|||
252|to please do/be X|VC||X kudasai @ X = verb te form||||
253|would you please do X|VC||X kuremasen ka @ X = verb te form (expression used when the request may cause some trouble to the other person)|||te kurenai, te itadakemasen ka|
254|(He) does/is X as a favor for me|VC|Use "te kureru" not only for polite language, but also for implicitly specifying the giver/recipient (e.g. "watashi/kare ni" is removed from the sentence). Usually refers to performing an act for the subject or a close familiar. Usage of "te kureru" corresponds to an active phrase as opposted to "te morau"that corresponds to a passive phrase.|Y ga Z wo X kureru @ X = verb te form, Y = person doing the favor, Z = object of the favor|1435, 1438, 1441||te morau, te ageru|
255|do X and see what happens|VC||X miru @ X = verb te form|1349, 1350, 1390|||
256|want to do X and see what happens, want to try doing X|VC||X miru @ X = verb te form|990|||
257|(He) can do/be X as a favor|VC||X moraeru @ X = verb te form||||
258|could (you) do/be X (as a favor)?|VC||X moraemasu ka @ X = verb te form||||
259|if someone can do/be X as a favor|VC||X moraeru to @ X = verb te form||||
260|please try to do/be X|VC||X goran @ X = verb te form||||
261|someone does/is X as a personal favor for someone or for me|VC|Use "te morau" not only for polite language, but also for implicitly specifying the giver/recipient (e.g. "watashi/kare ni" is removed from the sentence). Usage of "te kureru" corresponds to an active phrase as opposted to "te morau"that corresponds to a passive phrase.|Y ni Z wo X morau @ X = verb te form, Y = person doing the favor, Z = object of the favor|1430, 1432, 1439, 1441||te kureru, te ageru|
262|I want someone to do/be X (as a favor)|VC||X moraitai @ X = verb te form||||
263|I want someone to do/be X (as a favor)|VC||X moraitai @ X = verb te form||||
264|to fail to do/be X|VC||X sokonau @ X = verb te form||||
265|would you please do/be X (as a favor)|VC||X moraitai n desu ga @ X = verb te form||||
266|(He has) completely finished doing/being X|VC||X shimau @ X = verb te form||||
267|(He) regrets doing/being X|VC||X shimau @ X = verb te form||||
268|did/was X and regret doing it|VC||X shimatta @ X = verb te form|892, 893|||
269|did/was X and regret doing it|VC|Colloquial form of "te shimatta".|X cchimatta @ X = verb root|||te shimatta|
270|(He is) sorry to do/be X|VC||X sumimasen @ X = verb te form||||
271|always doing X|VC||X bakari iru @ X = verb te form|1077|||
272|(He) cannot make a X-ing|VC||X koto wa dekinai @ X = verb te form||||
273|to do/be X as a favor for me|VC||X choudai @ X = verb te form||||
274|(He) almost does/is X|VC||X sou ni naru @ X = verb||||
275|(He) doesn't seem to do/be X|VC||X nasasou @ X = verb a-stem||||
276|to be able to do/be X|VC||X @ X = verb eru form|1416||am able to, can do, can be|
277|to have been able to do/be X|VC||X @ X = verb eta form|||was able to, could do, could be|
278|to make someone do/de X (causative active)|VC||X @ X = verb saseru form||||
279|to be able to do a X-ing|VC||X koto ga dekiru @ X = verb dict. form||||
280|A/an X-ing/X-ment|VC|Used to convert a verb to a gerund (noun).|X koto @ X = verb dict. form||||
281|(He) has decided to do/be X|VC|More formal form of "koto ni suru".|X koto ni kimeru @ X = verb dict. form||||
282|should X, must X, ought to X|VC||X beki @ X = verb dict. form||||
283|to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly, to do intently, to continue in the same state|VC||X komu @ X = verb masu stem||||
284|to start to do/be|VC||X hajimeru @ X = verb masu stem||||
285|(He has) completely finished doing/being X|VC|Used colloquially (casual speech) only.|X chatta/jatta @ X = verb masu form or root (depending on verb type)||||
286|did/was X and regret doing it|VC|Used colloquially (casual speech) only.|X chatta/jatta @ X = verb masu form or root (depending on verb type)||||
287|to do/be X (honorific)|VC||(o) X ni naru @ X = verb masu stem|1460, 1461|||
288|to do/be X (honorific)|VC||(o) X nasaru @ X = verb masu stem||||
289|to do/be X (humble)|VC||(o) X suru @ X = verb masu stem||||
290|to do/be X (humble)|VC||(o) X itasu @ X = verb masu stem||||
291|to please do/be X|VC||(o) X kudasai @ X = verb masu stem|1462, 1463|||
292|to please don't do/be X|VC||(o) X kudasai @ X = verb naide form|1475, 1476|||
293|to please do/be X (honorific)|VC||X nasaimase @ X = verb masu stem||||
294|to please don't do/be X (honorific)|VC||X nasaimasu na @ X = verb masu stem||||
295|you are ordered to do/be X (polite)|VC||X nasai @ X = verb masu stem||||
296|you are ordered not to do/be X (polite)|VC||X nasaru na @ X = verb masu stem||||
297|as it is, as one likes, because, as, as long as|VC||X mama @ X = verb plain past|1394|||
298|to do/be X over again|VC|Sometimes with the connotation of repeating an action as reparation.|X naosu @ X = verb masu stem|1403|||
299|want to do/be X|VC||X @ X = verb tai form||||
300|wanted to do/be X|VC||X @ X = verb tai form||||
301|don't want to do/be X|VC||X @ X = verb tai form||||
302|didn't want to do/be X|VC||X @ X = verb tai form||||
303|want to do/be X (polite)|VC||X @ X = verb tai form||||
304|wanted to do/be X (polite)|VC||X @ X = verb tai form||||
305|don't want to do/be X (polite)|VC||X @ X = verb tai form||||
306|didn't want to do/be X (polite)|VC||X @ X = verb tai form||||
307|(I understand that) he/she wants to do/be X|VC|Third person usage only.|X @ X = verb tagaru form||||
308|easy to do/be X|VC||X yasui @ X = verb masu stem|894|||
309|difficult to do/be X|VC||X nikui @ X = verb masu stem|895|||
310|to do/be X (speaker is contemptuous)|VC|Used colloquially to indicate hatred, contempt or disdain for another's actions.|X yagaru @ X = verb masu stem|896|||
311|to do/be with hatred or contempt|VC|Used in very vulgar language to indicate hatred, contempt or disdain for another's actions.|X yagare @ X = verb masu stem|897|||
312|to not do/be X|VC|Archaic form of negation.|X nu @ X = verb masu stem||||
313|to (verb) without doing/being X|VC|Archaic form of negation.|X zu @ X = verb masu stem|898|||
314|is done doing/being X|VC|Indicates the completion of an action.|X agaru @ X = verb masu stem||||
315|to the point of|VC||X hodo @ X = verb dict. form|1267|||
316|or not|VC||X ka ina ka @ X = verb dict. form|1268|||
317|to have decided to do/be X (in the future)|VC|More colloquial form of "koto ni kimeru".|X koto ni suru @ X = verb dict./nai form|1410|||
318|we decided to do/be X|VC||X koto ni shita @ X = verb dict./nai form|1402, 1408|||
319|cannot, should not, will not, must not, must not do/be X|VC||X maji @ X = verb dict./nai form|1420|||
320|(I) have decided to be doing/being X|VC||X koto ni shiteiru @ X = verb dict./nai form|1409|||
321|It has been decided that (he) does/be X|VC||X koto ni naru @ X = verb dict./nai form||||
322|as soon as (he) does/is X|VC||X ga hayai ka @ X = verb plain form|687|||
323|Why don't (you) do/be X? How about doing/being X?|VC||X dou desu ka? @ X = verb tara form||||
324|What do (you) think/suggest if (he) does/is X?|VC||X ii desu ka? @ X = verb tara form||||
325|Shouldn't (you) do/be X?|VC||X deshou ka? @ X deshou = verb deshou form||||
326|Why don't (you) do/be X?|VC|ME#0235;0236|||||
327|May (he) do/be X?|VC||X mashou ka? @ X mashou = verb mashou form||||
328|only do X|VC||X dake da @ X = verb plain form||||
329|have (just) recently done X|VC||X bakari @ X = verb ta form|1076, 1419|||
330|ready to do/be X|VC||X bakari da @ X = verb dict. form|1078|||
331|to have done/been X just now|VC||X tokoro da @ X = verb ta form||||
332|just about to do/be X|VC||X tokoro da @ X = verb dict. form||||
333|to be just in the middle of X-ing|VC||X tokoro da @ X = verb teiru form||||
334|occasionally do/be X|VC||X koto ga aru @ X = verb dict./nai form||||
335|allowed to do/be X|VC||X koto ga de aru @ X = verb dict./nai form||||
336|to have experienced X-ing|VC||X koto ga aru @ X = verb ta form|1473, 1474|||
337|to have happened to do/be X|VC||X koto ni naru @ X = verb ta form||||
338|to be scheduled/due to do X|VC||X koto ni nattieru @ X = verb dict./nai form||||
339|about to do/be X|VC||X to suru/shiteiru @ X = verb ou (volitional) form||||
340|was just about to do X, tried to do X|VC||X to shita @ X = verb ou (volitional) form||||
341|plan to do/be X, intend to do/be X|VC|"tsumori" indicates more of a concrete intention that "ou to omou".|X to omou @ X = verb ou (volitional) form|||tsumori|
342|planning to do/be X|VC|"tsumori" indicates more of a concrete intention that "ou to omotteiru".|X to omoteiru @ X = verb ou (volitional) form||||
343|not intending to do/be X|VC||X tomonaku @ X = verb dict. form|988|||
344|intend to do/be X|VC|"tsumori" indicates more of a concrete intention that "ou to omou".|X tsumori da @ X = verb plain form|989, 1294||ou to omou|
345|(He) should do/be X|VC||X ii noni @ X = verb ba form||||
