Family|English|T/I|Prep|Kana|Kanji|u-stem|Root Kanji|Root|Exception|
su godan|add (numbers, something), take care of (e.g. one's business)|T|を|たす|足す|tasu|足|ta||
su godan|move (object, feelings), shift, operate, set in motion, mobilize, mobilise, inspire, rouse, influence, deny, change|T|を|うごかす|動かす|ugokasu|動か|ugoka||
su godan|change, swap, substitute, transfer, spend time, take time, infect, permeate, move on (the next stage)|T|を|うつす|移す|utsusu|移|utsu||
su godan|ferry across (a river, etc.), carry across, traverse, build across, hand over, hand in, pass, give, transfer, send|T|を|わたす|渡す|watasu|渡|wata||
su godan|permit, allow, approve, exempt (from fine), excuse (from), pardon, forgive, release, let off, confide, give up, yield|T|を|ゆるす|許す|yurusu|許|yuru||
su godan|demarcate, mark, divide, map out, draw (a line), plan|T|を|かくす|画す|kakusu|画|kaku||
su godan|behead (archaic), fire|T|を|かくす|馘す|kakusu|馘|kaku||
su godan|compare (e.g. in a competition)|T|を|かくす|角す|kakusu|角|kaku||
su godan|threaten, menace (archaic)|T|を|かくす|嚇す|kakusu|嚇|kaku||
su godan|chastise, punish, discipline|T|を|こらす|懲らす|korasu|懲ら|kora||
su godan|cross over (e.g. mountain), go across, pass time (e.g. a winter), move house|T|を|こす|越す|kosu|越|ko||
su godan|filter, strain|T|を|こす|濾す|kosu|濾|ko||
su godan|beat (a drum), pluck up courage|T|を|こす|鼓す|kosu|鼓|ko||
su godan|entrust, leave a person|T|を|まかす|任す|makasu|任|maka||
su godan|lose someone (wife, child, etc.)|T|を|なくす|亡くす|nakusu|亡く|naku||
su godan|fix, correct, repair, replace, convert (ina different state), transform|T|を|なおす|直す|naosu|直|nao||
su godan|grow long (beard, hair, etc.), lengthen, extend, stretch, reach out, hold out, straighten, smooth out, spread evenly (dough, cream, etc.), dilute, thin out, prolong, strengthen, develop, expand|T|を|のばす|延ばす|nobasu|延ば|noba||
su godan|shine, be visible, rise (of water levels), flow in, be felt (i.e. as an emotion)|I||さす|差す|sasu|差|sa||
su godan|pour, add (liquid), serve (drinks)|T|を|さす|注す|sasu|注|sa||
su godan|put on (lipstick, etc.), apply, colour, dye, light (a fire), burn|T|を|さす|点す|sasu|点|sa||
su godan|pierce, stab, prick, stick, thrust, sew, stitch, embroider, sting, bite|T|を|さす|刺す|sasu|刺|sa||
su godan|hold up (an umbrella, etc.), put up, raise, insert, put in, pole (a boat), put on (lipstick, etc.), apply, colour, dye, light (a fire), burn|T|を|さす|差す|sasu|差|sa||
su godan|point, nominate, select someone, identify, indicate, point out, play (shogi), extend one's arm straight ahead (in dance)|T|を|さす|指す|sasu|指|sa||
su godan|insert, put in, strike, arrange (flowers)|T|を|さす|挿す|sasu|挿|sa||
su godan|sting (i.e. bee, wasp..., archaic)|T|を|さす|螫す|sasu|螫|sa||
su godan|shut, close, lock, fasten|T|を|さす|鎖す|sasu|鎖|sa||
su godan|plunge (in grief), grieve|T|を|とざす|閉ざす|tozasu|閉ざ|toza||
su godan|wet, moisten, dampen|T|を|しめす|湿す|shimesu|湿|shime||
su godan|revive, retrieve (fortunes), raise up|T|を|おこす|興す|okosu|興|oko||
su godan|light a fire|T|を|おこす|熾す|okosu|熾|oko||
su godan|transcribe, duplicate, copy, reproduce, imitate, trace (e.g. on paper), describe, film, picture, photograph|T|を|うつす|写す|utsusu|写|utsu||
su godan|project, reflect, cast (shadow)|T|を|うつす|映す|utsusu|映|utsu||
su godan|levy, charge, assess, impose, assign|T|を|かす|課す|kasu|課|ka||
su godan|mask oneself, lie down|I||うちふす|打ち伏す|uchifusu|打ち伏|uchifu||
su godan|lie face down (e.g. on the ground, napping on a desk), lie prone, lower (one's head, gaze, etc.) (archaic)|I||うつぶす|俯す|utsubusu|俯|utsubu||
su godan|lie down (in bed)|I||ふす|臥す|fusu|臥|fu||
su godan|lie down (in bed), take one's bed (archaic)|I||がす|臥す|gasu|臥|ga||
su godan|write down, note, jot down, remember|I||しるす|記す|shirusu|記|shiru||
su godan|smash, crush, shut down, thwart, block, kill (time), waste (e.g. talents)|T|を|つぶす|潰す|tsubusu|潰|tsubu||
su godan|aim at, have an eye on|T|を|めざす|目指す|mezasu|目指|meza||
su godan|aim carefully at|T|を|ねらいすます|狙い澄ます|neraisumasu|狙い澄ま|neraisuma||
su godan|take down (e.g. flag), launch (e.g. boat), drop, lower (e.g. ladder), unload, discharge, withdraw money from an account, wear for the first time|T|を|おろす|下ろす|orosu|下ろ|oro||
su godan|drop off (a passenger)|T|を|おろす|降ろす|orosu|降ろ|oro||
su godan|fillet (e.g. a fish), cut up, grate, sell wholesale|T|を|おろす|卸す|orosu|卸|oro||
su godan|abort (an embryo or foetus), have an abortion|T|を|おろす|堕ろす|orosu|堕ろ|oro||
su godan|separate, part, divide, keep apart|T|を|はなす|離す|hanasu|離|hana||
su godan|release, let go, free, set free, let loose, turn loose|T|を|はなす|放す|hanasu|放|hana||
su godan|burn|T|を|もやす|燃やす|moyasu|燃や|moya||
su godan|take out|T|を|つれだす|連れ出す|tsuredasu|連れ出|tsureda||
su godan|disperse, take a castle|T|を|おいおとす|追い落とす|oiotosu|追い落と|oioto||
su godan|send, forward, hand over|T|を|よこす|寄越す|yokosu|寄越|yoko||
su godan|strangle death|T|を|しめころす|絞め殺す|shimekorosu|絞め殺|shimekoro||
su godan|take out, produce, pick out, fetch, retrieve|T|を|とりだす|取り出す|toridasu|取り出|torida||
su godan|grow restive, begin act violently|I||あばれだす|暴れ出す|abaredasu|暴れ出|abareda||
su godan|scent out, detect|T|を|かぎだす|嗅ぎ出す|kagidasu|嗅ぎ出|kagida||
su godan|go past (something), go beyond|I||とおりこす|通り越す|toorikosu|通り越|tooriko||
su godan|need, require, take, demand|T|を|ようす|要す|yousu|要|you||
su godan|run away, escape from|I||にげだす|逃げ出す|nigedasu|逃げ出|nigeda||
su godan|let loose, set free, let escape|T|を|にがす|逃がす|nigasu|逃が|niga||
su godan|let loose, set free, let escape, miss|T|を|のがす|逃す|nogasu|逃|noga||
su godan|shoot down, win, gain|T|を|いおとす|射落とす|iotosu|射落と|ioto||
su godan|knock down, knock off|T|を|たたきおとす|叩き落とす|tatakiotosu|叩き落と|tatakioto||
su godan|blunt, dull, weaken|T|を|にぶらす|鈍らす|niburasu|鈍ら|nibura||
su godan|start over, reset, restore, return the point (of a discussion), return something (that has been moved), reconstitute|T/I||にぶらす|鈍らす|motonimodosu|鈍ら|motonimodo||
su godan|pull out, take out, draw out, withdraw|T|を|ひきだす|引き出す|hikidasu|引き出|hikida||
su godan|overlook, command a view of, look down on, despise|I||みおろす|見下ろす|miorosu|見下ろ|mioro||
su godan|stick through, force through, spread throughout, thoroughly diffuse, make a path between two points, proceed in a logical manner, let pass, allow through, lead (someone) in(a house, room, etc.), show in, go through (a middleman), (look, listen) through (a window, wall, etc.), pass (a law, applicant, etc.), force accept, force agreement, continue (in a state), persist in, do the entirety of, cover all of, span the whole, do from beginning end without a break, convey (one's ideas, etc.) the other party, do the end, carry through, complete|T|を|とおす|通す|toosu|通|too||
su godan|fly, fire, hurl, launch, skip over, omit, drop (e.g. stitch), run or drive fast, gallop, spread a rumour (rumor), tell a story, remove, get rid of, transfer, attack, jeer at|T|を|とばす|飛ばす|tobasu|飛ば|toba||
su godan|jump out, rush out, fly out, appear (suddenly), protrude, project, butt in|I||とびだす|飛び出す|tobidasu|飛び出|tobida||
su godan|ring, sound, chime, beat, snort (nose)|I||ならす|鳴らす|tarasu|鳴ら|tara||
su godan|pass (time), spend, overdo (esp. of one's alcohol consumption), drink (alcohol)|I||すごす|過ごす|sugosu|過ご|sugo||
su godan|summon, call (e.g. phone), convene, decoy, lure, invoke (e.g. subroutine), call|T|を|よびだす|呼び出す|yobitasu|呼び出|yobita||
su godan|shine on, illuminate|T|を|てらす|照らす|terasu|照ら|tera||
su godan|repeat, send back, bring back, retrace one's steps|T|を|ひきかえす|引き返す|hihikaesu|引き返|hihikae||
su godan|look again, get a better opinion of|I||みなおす|見直す|minaosu|見直|minao||
su godan|awaken, disabuse, sober up|T|を|さます|覚ます|samasu|覚ま|sama||
su godan|reveal, show, display, indicate|T|を|あらわす|現す|arawasu|現|arawa||
su godan|express, represent, signify, stand for|T|を|あらわす|表す|arawasu|表|arawa||
su godan|make widely known|T|を|あらわす|顕す|arawasu|顕|arawa||
su godan|abbreviate, omit, take, capture|T|を|りゃくす|略す|ryakusu|略|ryaku||
su godan|build up, establish, form, become (a state), |T|を|なす|成す|nasu|成|na||
su godan|accomplish, achieve, succeed in, change into, do, perform|T|を|なす|為す|nasu|為|na||
su godan|have a child|T|を|なす|生す|nasu|生|na||
su godan|exert, cause, exercise|T|を|およぼす|及ぼす|oyobosu|及ぼ|oyobo||
su godan|surprise, frighten, create a stir|T|を|おどろかす|驚かす|odorokasu|驚か|odoroka||
su godan|threaten, menace, startle, surprise|T|を|おどかす|脅かす|odokasu|脅か|odoka||
su godan|afflict, torment, harass, molest|T|を|なやます|悩ます|nayamasu|悩ま|nayama||
su godan|satisfy, fulfill, appease, fill (e.g. a cup), pack, reach (a certain number)|T|を|みたす|満たす|mitasu|満た|mita||
su godan|make (the best) use of, leverage (skills, attributes, experience, etc.), capitalise on (experience, etc), let live, keep alive, revive, resuscitate|T|を|いかす|生かす|ikasu|生か|ika||
su godan|shift, slide (e.g. something away from something else), move (e.g. something out of the way), put off, delay, postpone, stagger (e.g. working hours)|T|を|ずらす|滑らす|zurasu|滑ら|zura||
su godan|begin run, start running|I||はしりだす|走り出す|hashiridasu|走り出|hashirida||
su godan|cool, dampen, let cool, spoil|T|を|さます|冷ます|samasu|冷ま|sama||
su godan|dig out, pick out|T|を|ほりだす|掘り出す|horidasu|掘り出|horida||
su godan|rock, shake, swing|T|を|ゆらす|揺らす|yurasu|揺ら|yura||
su godan|accomplish, achieve, carry out, fulfill, realize, execute, perform, do|T|を|はたす|果たす|hatasu|果た|hata||
su godan|spout out, spurt out, gush out, jet out, sprout, bud|I||ふきだす|吹き出す|fukidasu|吹き出|fukida||
su godan|turn, rotate, gyrate, circulate, send around, surround|T|を|まわす|回す|mawasu|回|mawa||
su godan|cancel, withdraw, retract, take back, revoke|T|を|とりけす|取り消す|torikesu|取り消|torike||
su godan|swing downward|I||ふりおろす|振り下ろす|furiorosu|振り下ろ|furioro||
su godan|kick over, kick down|T|を|けたおす|蹴倒す|ketaosu|蹴倒|ketao||
su godan|throw out of order, disarrange, disturb|T|を|みだす|乱す|midasu|乱|mida||
su godan|make (a decision), pass (judgement, etc), hand down (orders, etc), let go down, lower, do by oneself|T|を|くだす|下す|kudasu|下|kuda||
su godan|tear off, peel off, rip off, trip off, skin, flay, disrobe, deprive of, detach, disconnect|T|を|はがす|剥がす|hagasu|剥が|haga||
su godan|instigate, tempt|T|を|そそのかす|唆す|sosonokasu|唆|sosonoka||
su godan|irritate, tease|T|を|じらす|焦らす|jirasu|焦ら|jira||
su godan|change into, convert to, transform, be reduced, influence, improve|I||かす|化す|kasu|化|ka||
su godan|entrust, make an excuse of|T|を|たくす|託す|takusu|託|taku||
su godan|begin, beat, end, close, set out (forth), work out, hammer out|T|を|うちだす|打ち出す|uchidasu|打ち出|uchida||
su godan|deny, contradict, negate (esp. a sound), drown out|T|を|うちけす|打ち消す|uchikesu|打ち消|uchike||
su godan|push down|T|を|おしたおす|押し倒す|oshitaosu|押し倒|oshitao||
su godan|lose an easy game, suffer an unexpected defeat, lose information (IT term)|I||とりこぼす|取り零す|torikobosu|取り零|torikobo||
su godan|expose, lay open (e.g. secret), take pieces, kill, murder|T|を|ばらす|ばらす|barasu|ばら|bara||
su godan|wash again, reconsider|T|を|あらいなおす|洗い直す|arainaosu|洗い直|arainao||
su godan|wash away, rinse off|T|を|あらいながす|洗い流す|arainagasu|洗い流|arainaga||
su godan|send out, forward, show (a person) out|T|を|おくりだす|送り出す|okuridasu|送り出|okurida||
su godan|create, bing forth, produce, invent, give bith to, bear|T|を|うみだす|生み出す|umidasu|生み出|umida||
su godan|remove|T|を|どかす|退かす|dokasu|退か|doka||
su godan|make something be done on time|T|を|まにあわす|間に合わす|maniawasu|間に合わ|maniawa||
su godan|start walk|I||あるきだす|歩き出す|arukidasu|歩き出|arukida||
su godan|set out, sail, begin ride, lean forward|T|を|のりだす|乗り出す|noridasu|乗り出|norida||
su godan|delineate, draw, express, imagine|T|を|えがきだす|描き出す|egakidasu|描き出|egakida||
su godan|let go by, let pas, overlook, miss|T|を|みすごす|見過ごす|misugosu|見過ご|misugo||
su godan|strike (as send flying), beat, knock, jump with force, leap|I||ぶっとばす|ぶっ飛ばす|buttobasu|ぶっ飛ば|buttoba||
su godan|kick about|T|を|けちらす|蹴散らす|kechirasu|蹴散ら|kechira||
su godan|send back, return|T|を|おくりかえす|送り返す|okurikaesu|送り返|okurikae||
su godan|begin rain, start rain|I||ふりだす|降り出す|furidasu|降り出|furida||
su godan|shake and give, start shaking, shake out, write (draw) on a check (cheque)|T|を|ふりだす|振り出す|furidasu|振り出|furida||
su godan|pollute, contaminate, soil, make dirty, stain, disgrace, dishonour, dishonor, defile|T|を|よごす|汚す|yogosu|汚|yogo||
su godan|oversleep|I||ねすごす|寝過ごす|nesugosu|寝過ご|nesugo||
||||||||||
ku godan||||XXXく|XXXく|ku|||7|
ku godan|go|I||いく|行く|iku|行|i|8|
ku godan|receive, get, accept, take, buy, eat, drink, be crowned with|T|を|いただく|頂く|itadaku|頂|itada|9|
ku godan|write|T|を|かく|書く|kaku|書|ka||
ku godan|draw, paint, sketch|T|を|かく|描く|kaku|描|ka||
ku godan|work, labor, labour, function, operate, commit a crime, perpetrate, be conjugated|I||はたらく|働く|hataraku|働|hatara||
ku godan|be vacant, be empty, be free, be available|I||あく|空く|aku|空|a||
ku godan|come with, stick, be attached, be connected with, adhere, cling, remain imprinted, scar, stain, dye, bear (fruit, interest, etc), be acquired (of a habit, ability, etc), increase (in strength, etc), take root, accompany, attend, follow, study with, side with, belong to|I|に|つく|付く|tsuku|付|tsu||
ku godan|arrive, reach, sit on, sit at (e.g. table)|I||つく|着く|tsuku|着|tsu||
ku godan|bloom|I||さく|咲く|saku|咲|sa||
ku godan|notice, become aware of, sense, recognize, recognise, perceive, realize, realise|T|を|きづく|気づく|kiduku|気づ|kidu||
ku godan|reach, arrive, get through, get at, be attentive, pay attention, be delivered, carry (e.g. sound)|I||とどく|届く|todoku|届|todo||
ku godan|pull, draw (attention, etc.), attract (interest, etc.), draw back, draw (a card), draw (a plan,  a line...), catch (a cold), look up (e.g. dictionary), consult, inherit (a characteristic), quote, raise (as evidence), lay (a cable)|T|を|ひく|引く|hiku|引|hi||
ku godan|play (a string instrument)|T|を|ひく|弾く|hiku|弾|hi||
ku godan|hear, listen, ask, enquire, query|T|を|きく|聞く|kiku|聞|ki|10|
ku godan|listen, be told, obey, follow, ask, enquire, query|T|を|きく|聴く|kiku|聴|ki|11|
ku godan|ask, enquire, query, listen (formal)|T|を|きく|訊く|kiku|訊|ki|12|
ku godan|be less crowded|I||すく|空く|suku|空|su||
ku godan|walk|I|を|あるく|歩く|aruku|歩|aru||
ku godan|brush, polish|T|を|みがく|磨く|migaku|磨|miga||
ku godan|function, move|I||うごく|動く|ugoku|動|ugo||
ku godan|open, be open (esp. door)|I|が|あく|開く|aku|開|a||
ku godan|be open, have been opened (e.g. neckline, eyes), come an end, end|I|が|あく|明く|aku|明|a||
ku godan|open (e.g. eyes, mouth)|T|を|あく|明く|aku|明|a||
ku godan|cry, weep, sob, howl|I||なく|泣く|naku|泣|na||
ku godan|sing (bird), bark, purr, mew, moo, make a sound (animal)|I||なく|鳴く|naku|鳴|na||
ku godan|be surprised|I||おどろく|驚く|odoroku|驚|odoro||
ku godan|become dry, get dry|I||かわく|乾く|kawaku|乾|kawa|13|
ku godan|embrace, hold in the arms (e.g. a baby), hug, have sex with, make love to, sleep with, sit on eggs, bear (e.g. a grudge)|T|を|だく|抱く|daku|抱|da||
ku godan|wipe, dry|T|を|ふく|拭く|fuku|拭|fu||
ku godan|blow (wind, etc.), play a wind instrument, whistle, laugh (slang)|T|を|ふく|吹く|fuku|吹|fu||
ku godan|sweep, brush, gather up|T|を|はく|掃く|haku|掃|ha||
ku godan|put on (or wear) lower-body clothing (i.e. pants, skirt, footwear…), affix a sword one's hip, affix a bowstring a bow|T|を|はく|履く|haku|履|ha||
ku godan|vomit, throw up, spit up, emit, send forth, breathe out, give (an opinion), make (a comment), express, tell, confess|T|を|はく|吐く|haku|吐|ha||
ku godan|move back, draw back, recede, lessen, subside, ebb, fade, resign, retire, quit, descend (from a lineage)|I||ひく|退く|hiku|退|hi||
ku godan|run somebody over (with vehicle), knock someone down|T|を|ひく|轢く|hiku|轢|hi||
ku godan|saw, grind (e.g. coffee beans), mill|T|を|ひく|挽く|hiku|挽|hi||
ku godan|attract, captivate|T|を|ひく|惹く|hiku|惹|hi||
ku godan|open (e.g. a bank account, festival, event etc.)|T|を|ひらく|開く|hiraku|開|hira||
ku godan|spread out, open up (flower bud, umbrella, etc.), widen (gap, distance, width), hold, give (party, conference, etc.)|I||ひらく|開く|hiraku|開|hira||
ku godan|enlighten, edify (archaic)|T|を|ひらく|啓く|hiraku|啓|hira||
ku godan|open (e.g. path), clear (the way), break up (e.g. land)|T|を|ひらく|拓く|hiraku|拓|hira||
ku godan|unfasten, untie, unwrap (e.g. parcel)|T|を|ほどく|解く|hodoku|解|hodo||
ku godan|shine, glitter, sparkle|I||かがやく|輝く|kagayaku|輝|kagaya||
ku godan|incline toward, slant, lurch, heel over, be disposed to, trend toward, be prone to, go down (sun), wane, sink, decline|I||かたむく|傾く|katamuku|傾|katamu||
ku godan|break, smash, crush|T|を|くだく|砕く|kudaku|砕|kuda||
ku godan|persuade, coax, solicit, seduce, make advances, make a play, make a pass, put the moves on, come on to, hit on, court, woo, romance|T|を|くどく|口説く|kudoku|口説|kudo||
ku godan|invite, ask, beckon, wave someone in, gesture to, call in, send for, summon, bring on oneself, cause, incur, lead to, result in|T|を|まねく|招く|maneku|招|mane||
ku godan|be grounded on, be based on, be due to, originate from|I||もとずく|基ずく|motozuku|基ず|motozu||
ku godan|put, place, leave (behind), do in advance|I||おく|置く|oku|置|o||
ku godan|spread out, lay out, take a position, impose widely (e.g. over a city)|T|を|しく|敷く|shiku|敷|shi||
ku godan|solve, answer, untie|T|を|とく|解く|toku|解|to||
ku godan|continue, last, go on, be unbroken, occur again and again, lead to, connect to|I||つづく|続く|tsuduku|続|tsudu||
ku godan|bake, grill, burn (an object, a disc), toast, develop (photos)|T|を|やく|焼く|yaku|焼|ya||
ku godan|give up, except|I||おく|措く|oku|措|o||
ku godan|match, equal, catch up with, overtake|T|を|しく|若く|shiku|若|shi||
ku godan|occur repeatedly, be repeated (archaic)|I||しく|頻く|shiku|頻|shi||
ku godan|sob, weep, cry|I||しくしくなく|しくしく泣く|shikushikunaku|しくしく泣|shikushikuna||
ku godan|comb, untangle (hair)|T|を|とく|梳く|toku|梳|to||
ku godan|explain, advocate, preach, persuade|T|を|とく|説く|toku|説|to||
ku godan|dissolve (paint), scramble (eggs), melt (metal, etc.), mix (water with flour, etc.)|T|を|とく|溶く|toku|溶|to||
ku godan|take, carry (away), bear|T|を|もって いく|持っていく|motte iku|持ってい|motte i||
ku godan|burn (down), suntan, be jealous, be envious|I||やく|焼く|yaku|焼|ya||
ku godan|go, proceed|I||ゆく|行く|yuku|行|yu||
ku godan|conquer, subjugate|T|を|ゆく|征く|yuku|征|yu||
ku godan|go out, take a stroll, go about|I||であるく|出歩く|dearuku|出歩|dearu||
ku godan|feel sick, feel irritated, feel offended, feel angry|I||むかつく|ムカつく|mukatsuku|ムカつ|mukatsu||
ku godan|fight the bitter end|T|を|たたかいぬく|戦い抜く|tatakainuku|戦い抜|tatakainu||
ku godan|tear up, tear off, split|T|を|ひきさく|引き裂く|hikisaku|引き裂|hikisa||
ku godan|grow hot (of water, etc), boil, be in a state of excitement, get excited, take place energetically|T|を|わく|沸く|waku|沸|wa||
ku godan|face, turn toward, be suited to, be fit for|I||むく|向く|muku|向|mu||
ku godan|wind, coil, roll|T|を|まく|巻く|maku|巻|ma||
ku godan|remove, exclude, except|T|を|のぞく|除く|nozoku|除|nozo||
ku godan|omit, leave out, exclude, eliminate, curtail, save, cut down, economize, economise|T|を|はぶく|省く|habuku|省|habu||
ku godan|resound, be heard far away, reverberate, shake, vibrate, come (home), remain (with someone), have an effect, make an impression, echo|I||ひびく|響く|hibiku|響|hibi||
ku godan|ascend (the throne), accede, take (seat, position, course, etc.), assume, start (on a journey), commence, depart, study (under teacher), be an apprentice|I||つく|就く|tsuku|就|tsu||
ku godan|turn one's face, turn around, look over one's shoulder|I||ふりむく|振り向く|furimuku|振り向|furimu||
ku godan|be grounded on, be based on, be due to, originate from|I||もとづく|基づく|motoduku|基づ|motodu||
ku godan|adhere to, stick to, cling to, keep close to, go along with, get involved with, be thick with, become intimate|I||くっつく|くっ付く|kuttsuku|くっ付|kuttsu||
ku godan|scatter, sprinkle, strew, distribute (handbills, etc.), spread (rumours, etc.), give the slip, throw off, shake off, lose|T|を|まく|撒く|maku|撒|ma||
ku godan|scratch, perspire, shovel, paddle|T|を|かく|掻く|kaku|掻|ka||
